SCHOOL CODE,NAME,AFFILIATION_NO.,STREET ADDRESS,STATE,CITY,PINCODE,GENDER,CATEGORIES 1,CATEGORIES 2,TYPES 1,TYPES 2,NAME OF THE HEAD,PHONE 1,PHONE 2,PHONE 3,EMAIL_ID,WEBSITE,YEAR_OF_FOUNDATION,DATE_OF_OPENING,STATUS_OF_AFFILIATION,AFFILIATION_FROM,AFFILIATION_TO,NAME_OF_TRUST_SOCIETY_MANAGING_COMMITTEE,LOCALITY,COUNTRY,PHONE 4,PHONE 5,IMAGE URL,WORKING HOURS,DETAILS,SERVICES,FAX NO,PROFESSIONAL QUALIFICATIONS,NUMBER OF EXPERIENCE YEARS,ADMINISTRATIVE,TEACHING,extra,SOURCE URL,PERSON TO CONTACT,PLACE_ID,SOURCE
,SRI AUROBINDO MEMORIAL SCHOOL,830002,13-A MAIN ROAD  22ND CROSS BANASHANKARI II- STAGE BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560070,,,Provisional,CBSE,,ADITI VASISHTHA,"6716666
                        ,
                        6717777",6717777,,sri_aurobindo@vsnl.com,,1968,6/1/1968 0:00,Secondary School,1/4/2017,31/3/2022,national institute of technology karnataka society surathkal,Banashankari 2nd Stage,India,080 - 26716666, 080 - 26717777,,Monday - Saturday: 9 AM - 4.30 PM,,,,,,,,,,General Enquire ,ChIJ49ph_IMVrjsRReK_lyVvQVg,SOURCE 7
,ST COLUMBAS SCHOOL,2730144,ASHOK PLACE NEW DELHI,DELHI,NEW DELHI,110001,,,Provisional,CBSE,,BRO L D LADO,"23363134
                        ,",23363134,23363134,scsdelhi@del2.vsnl.net.in,www.stcolumbas.net ,1941,,Senior Secondary,1/4/2014,31/ 3/ 2019,CONG.OF CHRISTIAN BROTHERS IN INDIA,Connaught Place,India,011 - 23363134,,,,,,,,,,,,,S. Coelho,ChIJk8US3FH9DDkRSha-KyoNpg8,SOURCE 7
,st george's school,2730182,alaknanda (kalkaji)  DISTT SOUTH DELHI  new delhi,DELHI,SOUTH DELHI,110019,,,Provisional,CBSE,,mrs sara gege,"26417325
                        ,
                        26464645",26464645,26821027,stgeorgeschool_alaknanda@yahoo.com,www.sgs.edu.in ,1985,7/9/2003 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,ch heera lal shik samiti,Kalkaji,India,011 - 26022325, 011 - 26024645,,Monday - Saturday: 7 AM - 2 PM,,,,,,,,,,Dr.Saraj ,ChIJXZ2yT3vhDDkR3PjEnTbMYKQ,SOURCE 7
,SULABH PUBLIC SCHOOL,2730370,SULABH BHAWAN RZ-83  PALAM DABRI ROAD MAHAVIR ENCLAVE  NEW DELHI,DELHI,NEW DELHI,110045,,,Provisional,CBSE,,MRS S SHEEL PARSAD,"25032344
                        ,
                        25032753",25032753,25034014,dldavpp@hotmail.com,http://www.dldavpp.com,1992,,Secondary School,1/4/2015,31/3/2020,SULABH INTT CENTRE FOR ACTION SOC,Mahavir Enclave,India,011 - 25032344, 011 - 25032753,,Monday - Saturday: 10 AM - 5 PM,,,,,,,,,,Anjan Sharan,ChIJJeU68UcbDTkRE2GBXkqUfeo,SOURCE 7
,SURAJ BHAN D A V PUBLIC SCHOOL,2730139,F-10/15 VASANT VIHAR  DISTT SOUTH WEST DELHI  NEW DELHI,DELHI,south west delhi,110057,,,Provisional,CBSE,,MRS C K CHAWLA,"26149082
                        ,
                        26149371",26149082,25113240,maniknagar.mps@gmail.com,manikpublicschool.org,1984,,Senior Secondary,1/4/2013,31/ 3/ 2018,DAV COLLAGE MANAGING COMMITTEE,Vasant Vihar,India,011 - 26149082, 011 - 26149371,,Monday - Saturday: 8 AM - 3 PM,,,,,,,,,,Sunil kumar,ChIJl8Ou47EdDTkRVm0ndUY7Dl0,SOURCE 7
,THE ADARSH SCHOOL,2730291,RAMA ROAD KIRTI NAGAR NEW DELHI,DELHI,WEST DELHI,110015,,,Provisional,CBSE,,Mr. MRS VEENA SAHGAL,"25468105
                        ,",25416913,25449417,theadarsh@yahoo.com,http://www.adarshschool.c,1990,6/2/2003 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,BOS EDUCATIONAL SOCIETY,Ramesh Nagar,India,011 - 25416913, 011 - 25468105,,,,,,,,,,,,,ChIJHeWZsRsDDTkREpe4eRN2Pn4,SOURCE 7
,THE HERITAGE SCHOOL,2730315,D/2 VASANT KUNJ NEW DELHI,DELHI,south west delhi,110070,,,Provisional,CBSE,,Mr. SHASHI BANERJEE,"05946238724
                        ,",26134218,26731300,shashisms@gmail.com,www.theheritageschool.com ,1999,,Senior Secondary,1/4/2006,31/ 3/ 2011,SH K D R EDU SOCIETY,Vasant Kunj,India,011 - 26134162,,,Monday - Saturday: 7.30 AM - 2.30 PM,,,,,,,,,,Sunitha,ChIJVVVVVdQdDTkRnfPgH25MQTw,SOURCE 7
,THE MOTHER'S INTERNATIONAL SCHOOL,2730021,SRI AUROBINDO MARG NEW DELHI,DELHI,SOUTH DELHI,110016,,,Permanant,CBSE,,Mr. RAJALAKSHMI KARTHIKEYAN,"02826223545
                        ,",26524806,26522935,snsdl@del2.vsnl.net.in,www.themis.in,1956,,Senior Secondary,1/5/1977,1/5/1985,SRI AUROBINDO EDUCATION SOCIETY,Hauz Khas,India,011 - 26524806, 011 - 26964140,,,,,,,,,,,,Raja Laxmi,ChIJcWQJ6QXiDDkRXpzIYKgZVTk,SOURCE 7
,VIDYA NIKETAN PUBLIC SCHOOL,2730337,NANAKPURA MOTI BAGH NEW DELHI,DELHI,NEW DELHI,110021,,,Provisional,CBSE,,SMT KAUSHALAYA DEVI SHARMA,"24673314
                        ,
                        24673497",24673497,,vidya.niketan.public.school@gmail.com,www.vidyaniketanpublicschool.com ,1980,7/14/2004 0:00,Secondary School,1/4/2015,31/3/2020,MOTI BAGH MUTUAL AID EDN SOCIETY,Malviya Nagar,India,011 - 26569425, 011 - 26563073,,,,,,,,,,,,Chitra Gopal,ChIJq6qqRn0CDTkReyXQYXCf088,SOURCE 7
,VIDYANIKETAN PUBLIC SCHOOL,830041,961  9TH CROSS  13TH MAIN ULLAL UPANAGARA BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560050,,,Provisional,CBSE,,MS PREMA RAJAGOPAL,"2603027
                        ,",,6637959,prasad_don@yahoo.com,,1986,6/9/2008 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,VIDYA NIKETAN EDN.&CULTURAL TRUST,Ullal Upanagar,India,080 - 23240364,,,,,,,,,,,,,Prema Rajagopal,ChIJRTaaV6M-rjsRfQ95hcoS0yQ,SOURCE 7
,WOODBINE GARDENIA SCHOOL,2130154,REHMAN HOUSE G.T.ROAD RAWATPUR  KANPUR UTTAR PRADESH,uttar pradesh,KANPUR,208026,,,Provisional,CBSE,,Mrs. Sumita Mukherjee,"570010 574
                        ,
                        574830",574830,2570010,woodbine@rediffmail.com,,1985,6/25/2007 0:00,Senior Secondary,1/4/2012,31/ 3/ 2017,WOODBINE EDUCATION SOCIETY,Khyora,India,0512 - 2572161,,,,,,,,,,,,,,ChIJ53NOBZo3nDkRCvAD5pahfJo,SOURCE 7
,ADARSH PUBLIC SCHOOL,130147,VINAYAK NAGAR PEDAGANTYUDA ANDHRA PRADESH,ANDHRA PRADESH,VISAKHAPATNAM,530044,,,Provisional,CBSE,,Mrs. K S S Ch V Maha Lakshmi,"25595776
                        ,
                        25533300",,2589109,adarshedu@bsnl.in,,1993,4/13/2004 0:00,Secondary School,1/4/2013,31/3/2018,LISIEX EDNL. INSTITUTIONS,Pedagantyada ,India,,,,,,,-,,,5,13,,http://www.thelearningpoint.net/home/school-listings/cbse-13/ADARSH-PUBLIC-SCHOOL-VINAYAK-NAGAR-PEDAGANTYUDA-ANDHRA-PRADESH-130147,,ChIJhYOT6g5pOToRMhIC_dAipK4,SOURCE 7
,AJANTA PUBLIC SCHOOL,530318,SECTOR - 31 GURGAON HARYANA,HARYANA,GURGAON,122001,,,Provisional,CBSE,,MR VAIBHAV KAPOOR,"2636126
                        ,",,,ajanta_school@yahoo.co.in,http://www.ajantapublicschool.org,1963,4/1/2011 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,shri vivek educational chari trust,Sector 31,India,0124 - 2381823, 0124 - 2381824,,Monday - Saturday: 8 AM - 2 PM,,,522263585,,,,,,http://www.thelearningpoint.net/home/school-listings/cbse-20/AJANTA-PUBLIC-SCHOOL-SECTOR---31-GURGAON-HARYANA-530318,Jaya,ChIJkbP9blwYDTkR0tNguI4gZ9w,SOURCE 7
,ASCENT PUBLIC SCHOOL,530385,CHANDER LOK DLF PHASE IV GURGAON HARYANA,HARYANA,GURGAON,122001,,,Provisional,CBSE,,SP P C KHOLA,"6386287
                        ,",,247318,haryana_model@rediffmail.com,,1982,4/1/2005 0:00,Secondary School,1/4/2015,31/3/2020,RAO UMRAO SINGH MEM EDU SOCIETY,Dlf Phase Iv,India,0124 - 2386287,,,,,,248566,,,0,0,,http://www.thelearningpoint.net/home/school-listings/cbse-20/ASCENT-PUBLIC-SCHOOL-CHANDER-LOK-DLF-PHASE-IV-GURGAON-HARYANA-530385,,ChIJVVVVVVUWDTkR3-rMRkFikRI,SOURCE 7
,BASANT VALLEY PUBLIC SCHOOL,530364,GARHI HARSARU GURGAON HARYANA,HARYANA,GURGAON,122001,,,Provisional,CBSE,,MRS MOHINI SHARMA,"2276549
                        ,
                        6326558",6326558,2326558,basantvalley@yahoo.co.in,,1994,7/25/1994 0:00,Senior Secondary,1/4/2017,31/ 3/ 2022,PT POKARMAL EDU AVM WEL SOCIETY,Garhi Harsaru,India,9871225599,,,Monday - Saturday: 9 AM - 2 PM ( Lunch: 1.30 PM - 2 PM ),,,2276549,,,5,7,,http://www.thelearningpoint.net/home/school-listings/cbse-20/BASANT-VALLEY-PUBLIC-SCHOOL-GARHI-HARSARU-GURGAON-HARYANA-530364,Navya ,ChIJheGytG4WDTkRF1UogF_pTWo,SOURCE 7
,PREMALOK MISSION SCHOOL,330080,MAA SHARDAPURAM (BERIYA) PATNA GAYA ROAD PATNA BIHAR,BIHAR,PATNA,800007,,,Provisional,CBSE,,MRS SHIVANI,",",,,,,1997,7/1/1987 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,displacod kashmiri migrant edn. & c,,India,,,,,,,,,,,,,http://www.thelearningpoint.net/home/school-listings/cbse-19/PREMALOK-MISSION-SCHOOL-MAA-SHARDAPURAM--BERIYA--PATNA-GAYA-ROAD-PATNA-BIHAR-330080,,ChIJzWT7W4pY7TkRdcoBDI_gFRw,SOURCE 7
,SHRI HARI RAM SABOO PUBLIC SCHOOL,1730087,SHOPPING CENTRE SUBHASH NAGAR JAIPUR RAJASTHAN,RAJASTHAN,JAIPUR,302016,,,Provisional,CBSE,,Mr. MRS S MATHUR,"2280141
                        ,",,1414018448,shyamamathur@yahoo.com,,,,Secondary School,1/4/2014,31/3/2019,,Shastri Nagar,India,0141 - 2280141,,,,,,2280004,,,31,31,,http://www.thelearningpoint.net/home/school-listings/cbse-24/SHRI-HARI-RAM-SABOO-PUB-SCHOOL-SHOPPING-CENTRE-SUBHASH-NAGAR-JAIPUR-RAJASTHAN-1730087,,ChIJR3w-3-WzbTkR3kJ5_Ho3feQ,SOURCE 7
,The Heritage School,530550,SECTOR-62  GURGAON  HARYANA,HARYANA,GURGAON,122011,,,Provisional,CBSE,,mrs kaye vogel aoki,"4324000/4324004
                        ,",2764321,2855123,admissionsgurgaon@heritageschool.com,www.heritageschool.com,2003,4/1/2005 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,lala sher singh memial jeevan vidyan trust society,Sector 57,India,0124 - 2855124, 0124 - 2855125,,,,,,,,,,,http://www.thelearningpoint.net/home/school-listings/cbse-10/THE-HERITAGE-SCHOOL-ADJ-SECTOR-57-SUSHANT-LOK-III-GURGAON-HARYANA-530550,,ChIJraqqqhUiDTkRzxfkn8LBOmU,SOURCE 7
,VIDYA BHARATI CHINMAYA VIDYALAYA,3430015,NEAR P TYPE FLATS TELCO COLONY OPP. PLAZA DISPENSARY JAMSHEDPUR JHARKHAND,JHARKHAND,EAST SINGHBHUM,831004,,,Permanant,CBSE,,Mrs. VIPIN SHARMA,"88829
                        ,",,88050,abc@mail.com,,1979,7/1/1986 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,CHINMAYA MISSION JAMSHED PUR,,India,,,,,,,,,,30,15,,http://www.thelearningpoint.net/home/school-listings/cbse-6/VIDYA-BHARATI-CHINMAYA-VIDYALAYA-NEAR-P-TYPE-FLATS-TELCO-COLONY-OPP--PLAZA-DISPENSARY-JAMSHEDPUR-JHARKHAND-3430015,,ChIJGcQgpgQI9jkRU9HV5K6IvWU,SOURCE 7
,air force bal bharati school,2780008,lodi road new delhi,DELHI,NEW DELHI,110003,,,Permanant,CBSE,,mr. anand swaroop,"25693777
                        ,",24611777,24623671,afbbschool@gmail.com,airfcebalbharatischool.com,1955,4/1/1991 0:00,Senior Secondary,1/7/1977,1/5/1985,iaf educaitonal and cultural socy,Lodi Road,India,011 - 24616220,,,,,,,,,,,,,,ChIJi20cJvDiDDkRJYbNkokI_cE,SOURCE 7
,ANGELS PUBLIC SCHOOL,530292,SEC-21A BADKHAL ROAD FARIDABAD HARYANA,HARYANA,FARIDABAD,136128,,,Provisional,CBSE,,SHAHSI RAGHAVE,"06546262518
                        ,",,2217645,,,1996,4/1/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,SHAHDARA ANGELS EDNL. SOCIETY,,India,0129 - 2422580,,,,,,,,,,,,,,ChIJeZBlC8_dDDkRy02TNvbconc,SOURCE 7
,BHATNAGAR INTERNATIONAL SCHOOL,2730193,SECTOR-B POCKET -10  VASANT KUNJ NEW DELHI,DELHI,NEW DELHI,110070,,,Provisional,CBSE,,DR ANJANA  SAHAJWALA,"011-25262188
                        ,",26891277,25784397,blsvk@del3.vsnl.net.in,http://www.thecreekschool.com,1990,6/25/2007 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,VIRENDER BHATNAGAR SAMSTHAN,Vasant Kunj,India,011 - 26893497, 011 - 26891277,,,,,,,,,,,,Sudhir Kumar,ChIJv2H8bW4EDTkRkdVyFtmiGL0,SOURCE 7
PU070,Sacred Heart Convent School,,   Pak Dil Nagar  Punga  Ajnala  Amritsar-143 103,Punjab,Amritsar,143103,Co-ed. ,Day,Provisional,ICSE,,Sr. Jisma  Jisma , 01858-216201,9317597474,, kk@yahoo.com , pu070cisce.org ,,,,,,,,India,(0183) 2774233,,,,,,,,,,,,,Jisma,ChIJdYbO42zLGzkRliCDyUvn7E4,SOURCE 5
